,Forecasted Load
2022-01-05 09:00:00+01:00,70262.0
2022-01-05 09:15:00+01:00,70692.0
2022-01-05 09:30:00+01:00,71225.0
2022-01-05 09:45:00+01:00,71502.0
2022-01-05 10:00:00+01:00,71340.0
2022-01-05 10:15:00+01:00,71764.0
2022-01-05 10:30:00+01:00,72189.0
2022-01-05 10:45:00+01:00,72651.0
2022-01-05 11:00:00+01:00,72719.0
2022-01-05 11:15:00+01:00,73438.0
2022-01-05 11:30:00+01:00,73702.0
2022-01-05 11:45:00+01:00,73721.0
2022-01-05 12:00:00+01:00,73797.0
2022-01-05 12:15:00+01:00,73586.0
2022-01-05 12:30:00+01:00,73532.0
2022-01-05 12:45:00+01:00,73317.0
2022-01-05 13:00:00+01:00,73386.0
2022-01-05 13:15:00+01:00,72989.0
2022-01-05 13:30:00+01:00,72234.0
2022-01-05 13:45:00+01:00,71730.0
2022-01-05 14:00:00+01:00,71806.0
2022-01-05 14:15:00+01:00,71498.0
2022-01-05 14:30:00+01:00,71240.0
2022-01-05 14:45:00+01:00,70853.0
2022-01-05 15:00:00+01:00,70806.0
2022-01-05 15:15:00+01:00,70441.0
2022-01-05 15:30:00+01:00,69967.0
2022-01-05 15:45:00+01:00,69706.0
2022-01-05 16:00:00+01:00,70192.0
2022-01-05 16:15:00+01:00,70173.0
2022-01-05 16:30:00+01:00,70455.0
2022-01-05 16:45:00+01:00,71162.0
2022-01-05 17:00:00+01:00,72018.0
2022-01-05 17:15:00+01:00,72167.0
2022-01-05 17:30:00+01:00,72274.0
2022-01-05 17:45:00+01:00,72237.0
2022-01-05 18:00:00+01:00,72320.0
2022-01-05 18:15:00+01:00,71953.0
2022-01-05 18:30:00+01:00,71470.0
2022-01-05 18:45:00+01:00,71155.0
2022-01-05 19:00:00+01:00,70660.0
2022-01-05 19:15:00+01:00,70130.0
2022-01-05 19:30:00+01:00,69425.0
2022-01-05 19:45:00+01:00,68914.0
2022-01-05 20:00:00+01:00,67349.0
2022-01-05 20:15:00+01:00,66613.0
2022-01-05 20:30:00+01:00,65654.0
2022-01-05 20:45:00+01:00,65152.0
2022-01-05 21:00:00+01:00,64494.0
2022-01-05 21:15:00+01:00,64028.0
2022-01-05 21:30:00+01:00,63489.0
2022-01-05 21:45:00+01:00,62752.0
2022-01-05 22:00:00+01:00,63018.0
2022-01-05 22:15:00+01:00,62320.0
2022-01-05 22:30:00+01:00,61271.0
2022-01-05 22:45:00+01:00,60512.0
2022-01-05 23:00:00+01:00,59401.0
2022-01-05 23:15:00+01:00,58588.0
2022-01-05 23:30:00+01:00,57767.0
2022-01-05 23:45:00+01:00,57144.0
2022-01-06 00:00:00+01:00,53975.0
2022-01-06 00:15:00+01:00,53249.0
2022-01-06 00:30:00+01:00,52547.0
2022-01-06 00:45:00+01:00,52211.0
2022-01-06 01:00:00+01:00,51565.0
2022-01-06 01:15:00+01:00,51074.0
2022-01-06 01:30:00+01:00,50893.0
2022-01-06 01:45:00+01:00,50497.0
2022-01-06 02:00:00+01:00,50178.0
2022-01-06 02:15:00+01:00,50092.0
2022-01-06 02:30:00+01:00,49862.0
2022-01-06 02:45:00+01:00,49927.0
2022-01-06 03:00:00+01:00,49973.0
2022-01-06 03:15:00+01:00,50092.0
2022-01-06 03:30:00+01:00,50232.0
2022-01-06 03:45:00+01:00,50251.0
2022-01-06 04:00:00+01:00,50692.0
2022-01-06 04:15:00+01:00,50667.0
2022-01-06 04:30:00+01:00,50856.0
2022-01-06 04:45:00+01:00,51176.0
2022-01-06 05:00:00+01:00,52075.0
2022-01-06 05:15:00+01:00,52198.0
2022-01-06 05:30:00+01:00,52543.0
2022-01-06 05:45:00+01:00,53476.0
2022-01-06 06:00:00+01:00,54918.0
2022-01-06 06:15:00+01:00,56353.0
2022-01-06 06:30:00+01:00,57622.0
2022-01-06 06:45:00+01:00,58543.0
2022-01-06 07:00:00+01:00,60214.0
2022-01-06 07:15:00+01:00,60702.0
2022-01-06 07:30:00+01:00,61517.0
2022-01-06 07:45:00+01:00,62080.0
2022-01-06 08:00:00+01:00,63281.0
2022-01-06 08:15:00+01:00,63829.0
2022-01-06 08:30:00+01:00,64199.0
2022-01-06 08:45:00+01:00,64261.0
2022-01-06 09:00:00+01:00,64192.0
2022-01-06 09:15:00+01:00,65207.0
2022-01-06 09:30:00+01:00,65287.0
2022-01-06 09:45:00+01:00,65629.0
2022-01-06 10:00:00+01:00,65865.0
2022-01-06 10:15:00+01:00,66051.0
2022-01-06 10:30:00+01:00,66739.0
2022-01-06 10:45:00+01:00,66925.0
2022-01-06 11:00:00+01:00,67571.0
2022-01-06 11:15:00+01:00,68186.0
2022-01-06 11:30:00+01:00,68601.0
2022-01-06 11:45:00+01:00,68384.0
2022-01-06 12:00:00+01:00,68255.0
2022-01-06 12:15:00+01:00,68379.0
2022-01-06 12:30:00+01:00,68107.0
2022-01-06 12:45:00+01:00,67866.0
2022-01-06 13:00:00+01:00,67370.0
2022-01-06 13:15:00+01:00,67046.0
2022-01-06 13:30:00+01:00,66448.0
2022-01-06 13:45:00+01:00,66009.0
2022-01-06 14:00:00+01:00,65764.0
2022-01-06 14:15:00+01:00,65652.0
2022-01-06 14:30:00+01:00,65348.0
2022-01-06 14:45:00+01:00,65134.0
2022-01-06 15:00:00+01:00,65143.0
2022-01-06 15:15:00+01:00,64920.0
2022-01-06 15:30:00+01:00,64927.0
2022-01-06 15:45:00+01:00,65093.0
2022-01-06 16:00:00+01:00,65478.0
2022-01-06 16:15:00+01:00,65836.0
2022-01-06 16:30:00+01:00,66507.0
2022-01-06 16:45:00+01:00,67192.0
2022-01-06 17:00:00+01:00,67808.0
2022-01-06 17:15:00+01:00,68100.0
2022-01-06 17:30:00+01:00,68305.0
2022-01-06 17:45:00+01:00,68377.0
2022-01-06 18:00:00+01:00,68298.0
2022-01-06 18:15:00+01:00,68075.0
2022-01-06 18:30:00+01:00,67909.0
2022-01-06 18:45:00+01:00,67813.0
2022-01-06 19:00:00+01:00,67467.0
2022-01-06 19:15:00+01:00,66779.0
2022-01-06 19:30:00+01:00,66463.0
2022-01-06 19:45:00+01:00,65739.0
2022-01-06 20:00:00+01:00,64779.0
2022-01-06 20:15:00+01:00,64008.0
2022-01-06 20:30:00+01:00,63105.0
2022-01-06 20:45:00+01:00,62529.0
2022-01-06 21:00:00+01:00,61895.0
2022-01-06 21:15:00+01:00,61676.0
2022-01-06 21:30:00+01:00,61265.0
2022-01-06 21:45:00+01:00,60710.0
2022-01-06 22:00:00+01:00,60889.0
2022-01-06 22:15:00+01:00,60602.0
2022-01-06 22:30:00+01:00,59547.0
2022-01-06 22:45:00+01:00,58824.0
2022-01-06 23:00:00+01:00,57591.0
2022-01-06 23:15:00+01:00,57076.0
2022-01-06 23:30:00+01:00,56497.0
2022-01-06 23:45:00+01:00,55763.0
